NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;DHUMEC;QDHUMEC;PMERM;QPMERM;PMERMIN;QPMERMIN;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;INFRART;QINFRART; UV;QUV;UV_INDICEX;QUV_INDICEX;SIGMA;QSIGMA;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;UM;QUM;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE; ECOULEMENTM;QECOULEMENTM;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE; VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;NB300;QNB300;BA300;QBA300;TMERMIN;QTMERMIN;TMERMAX;QTMERMAX
 01027003;BALAN_AERO;45.833000;5.106667;196;20230807;;;;;;;;;;;;;;;;;;;;;;;33;1;1431;9;95;1;455;9;62;1;204;9;388;9;11.8;9;;;4.5;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230808;;;;;;;;;;;;;;;;;;;;;;;30;1;1345;9;99;1;530;9;66;1;277;9;534;9;12.6;9;;;4.3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230809;;;;;;;;;;;;;;;;;;;;;;;28;1;1341;9;97;1;519;9;62;1;455;9;469;9;13.9;9;;;5.0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230810;;;;;;;;;;;;;;;;;;;;;;;31;1;1512;9;98;1;520;9;66;1;203;9;523;9;16.7;9;;;4.6;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230811;;;;;;;;;;;;;;;;;;;;;;;35;1;1440;9;98;1;506;9;67;1;108;9;542;9;19.3;9;;;5.4;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230812;;;;;;;;;;;;;;;;;;;;;;;35;1;1500;9;91;1;2;9;62;1;120;9;363;9;20.4;9;;;5.8;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230813;;;;;;;;;;;;;;;;;;;;;;;32;1;1331;9;98;1;2354;9;73;1;190;9;736;9;21.4;9;;;5.4;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230814;;;;;;;;;;;;;;;;;;;;;;;31;1;1342;9;98;1;1;9;62;1;249;9;464;9;18.0;9;;;6.1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230815;;;;;;;;;;;;;;;;;;;;;;;23;1;1542;9;93;1;2328;9;61;1;273;9;279;9;18.0;9;;;6.2;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230816;;;;;;;;;;;;;;;;;;;;;;;25;1;1443;9;99;1;515;9;69;1;214;9;612;9;19.0;9;;;5.2;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230817;;;;;;;;;;;;;;;;;;;;;;;19;1;1310;9;98;1;202;9;60;1;495;9;526;9;16.6;9;;;6.9;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230818;;;;;;;;;;;;;;;;;;;;;;;18;1;1325;9;95;1;504;9;52;1;601;9;342;9;15.1;9;;;7.6;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230819;;;;;;;;;;;;;;;;;;;;;;;19;1;1346;9;88;1;320;9;53;1;605;9;256;9;17.0;9;;;7.1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230820;;;;;;;;;;;;;;;;;;;;;;;31;1;1421;9;97;1;519;9;65;1;303;9;469;9;22.1;9;;;6.0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
